data_type,domain,layer_type,filename,filepath,resolution_x,resolution_y,crs,extent_xmin,extent_xmax,extent_ymin,extent_ymax,file_size_mb
indicator,iconic_species_old,NA,recovery_species_1km_moll.tif,data/sense_of_place/archive/iconic_species_old/indicators/moll_files/recovery_species_1km_moll.tif,1000,1000,NA,-13403959.723543646,-7142959.723543646,3798809.94685516,7890809.94685516,6.27
indicator,iconic_species_old,NA,resistance_species_1km_moll.tif,data/sense_of_place/archive/iconic_species_old/indicators/moll_files/resistance_species_1km_moll.tif,1000,1000,NA,-13403959.723543646,-7142959.723543646,3798809.94685516,7890809.94685516,6.29
indicator,iconic_species_old,recovery,sense_of_place_iconic_species_area_recovery_1km_moll.tif,data/sense_of_place/archive/iconic_species_old/indicators/moll_files/sense_of_place_iconic_species_area_recovery_1km_moll.tif,1000,1000,NA,-13403959.723543646,-7142959.723543646,3798809.94685516,7890809.94685516,6.29
indicator,iconic_species_old,status,sense_of_place_iconic_species_status_1km_moll_75_extinction_rescaled.tif,data/sense_of_place/archive/iconic_species_old/indicators/moll_files/sense_of_place_iconic_species_status_1km_moll_75_extinction_rescaled.tif,1000,1000,NA,-13403959.723543646,-7142959.723543646,3798809.94685516,7890809.94685516,5.21
indicator,iconic_species_old,status,sense_of_place_iconic_species_status_1km_moll_no_extinction.tif,data/sense_of_place/archive/iconic_species_old/indicators/moll_files/sense_of_place_iconic_species_status_1km_moll_no_extinction.tif,1000,1000,NA,-13403959.723543646,-7142959.723543646,3798809.94685516,7890809.94685516,5.17
indicator,iconic_species_old,recovery,sense_of_place_iconic_species_traits_recovery_1km_moll.tif,data/sense_of_place/archive/iconic_species_old/indicators/moll_files/sense_of_place_iconic_species_traits_recovery_1km_moll.tif,1000,1000,NA,-13403959.723543646,-7142959.723543646,3798809.94685516,7890809.94685516,6.27
indicator,iconic_species_old,resistance,sense_of_place_iconic_species_traits_resistance_1km_moll.tif,data/sense_of_place/archive/iconic_species_old/indicators/moll_files/sense_of_place_iconic_species_traits_resistance_1km_moll.tif,1000,1000,NA,-13403959.723543646,-7142959.723543646,3798809.94685516,7890809.94685516,6.29
indicator,iconic_species,recovery,sense_of_place_iconic_species_area_recovery_1km_moll.tif,data/sense_of_place/iconic_species/indicators/sense_of_place_iconic_species_area_recovery_1km_moll.tif,1000,1000,NA,-13403959.723543646,-7142959.723543646,3798809.94685516,7890809.94685516,6.25
indicator,iconic_species,status,sense_of_place_iconic_species_status_1km_moll_75_extinction_rescaled.tif,data/sense_of_place/iconic_species/indicators/sense_of_place_iconic_species_status_1km_moll_75_extinction_rescaled.tif,1000,1000,NA,-13403959.723543646,-7142959.723543646,3798809.94685516,7890809.94685516,5.21
indicator,iconic_species,status,sense_of_place_iconic_species_status_1km_moll_no_extinction.tif,data/sense_of_place/iconic_species/indicators/sense_of_place_iconic_species_status_1km_moll_no_extinction.tif,1000,1000,NA,-13403959.723543646,-7142959.723543646,3798809.94685516,7890809.94685516,5.17
indicator,iconic_species,recovery,sense_of_place_iconic_species_traits_recovery_1km_moll.tif,data/sense_of_place/iconic_species/indicators/sense_of_place_iconic_species_traits_recovery_1km_moll.tif,1000,1000,NA,-13403959.723543646,-7142959.723543646,3798809.94685516,7890809.94685516,6.23
indicator,iconic_species,resistance,sense_of_place_iconic_species_traits_resistance_1km_moll.tif,data/sense_of_place/iconic_species/indicators/sense_of_place_iconic_species_traits_resistance_1km_moll.tif,1000,1000,NA,-13403959.723543646,-7142959.723543646,3798809.94685516,7890809.94685516,6.25
indicator,water,status,streamflow_status_scores_2024_moll_not_needed.tif,data/water/indicators/archive/streamflow_status_scores_2024_moll_not_needed.tif,90,89.99999999999999,NA,-13403959.723543646,-7143289.723543646,3798809.94685516,7890839.94685516,242.3
